Timestep,Smoothed Reward
0,-1.35
1,-1.8
2,-2.25
3,-2.7
4,-3.1500000000000004
5,-3.600000000000001
6,-4.050000000000001
7,-4.500000000000001
8,-4.950000000000001
9,-5.400000000000001
10,-5.850000000000001
11,-6.3000000000000025
12,-6.750000000000002
13,-7.200000000000002
14,-7.650000000000001
15,-8.100000000000001
16,-8.55
17,-9.0
18,-9.45
19,-9.9
20,-10.35
21,-10.799999999999999
22,-11.249999999999998
23,-11.699999999999998
24,-12.149999999999997
25,-12.599999999999996
26,-13.049999999999995
27,-13.499999999999995
28,-13.949999999999994
29,-14.399999999999993
30,-14.849999999999993
31,-15.299999999999992
32,-15.749999999999991
33,-16.19999999999999
34,-16.649999999999988
35,-17.099999999999987
36,-17.549999999999986
37,-17.999999999999986
38,-18.449999999999985
39,-18.899999999999984
40,-19.349999999999984
41,-19.799999999999983
42,-20.249999999999982
43,-20.69999999999998
44,-21.14999999999998
45,-21.59999999999998
46,-22.04999999999998
47,-22.49999999999998
48,-22.949999999999978
49,-23.399999999999977
50,-23.849999999999977
51,-24.29999999999998
52,-24.74999999999998
53,-25.199999999999978
54,-25.649999999999977
55,-26.099999999999977
56,-26.549999999999976
57,-26.999999999999975
58,-27.449999999999974
59,-27.899999999999974
60,-28.349999999999973
61,-28.799999999999972
62,-29.24999999999997
63,-29.69999999999997
64,-30.14999999999997
65,-30.59999999999997
66,-31.04999999999997
67,-31.499999999999968
68,-31.949999999999967
69,-32.39999999999997
70,-32.849999999999966
71,-33.29999999999997
72,-33.74999999999997
73,-34.199999999999974
74,-34.64999999999998
75,-35.09999999999998
76,-35.54999999999998
77,-35.999999999999986
78,-36.44999999999999
79,-36.89999999999999
80,-37.349999999999994
81,-37.8
82,-38.25
83,-38.7
84,-39.150000000000006
85,-39.60000000000001
86,-40.05000000000001
87,-40.500000000000014
88,-40.95000000000002
89,-41.40000000000002
90,-41.85000000000002
91,-42.300000000000026
92,-42.75000000000003
93,-43.20000000000003
94,-43.650000000000034
95,-44.10000000000004
96,-44.55000000000004
97,-45.00000000000004
98,-45.450000000000045
99,-45.90000000000005
100,-46.35000000000005
101,-46.800000000000054
102,-47.25000000000006
103,-47.70000000000006
104,-48.15000000000006
105,-48.600000000000065
106,-49.05000000000007
107,-49.50000000000007
108,-49.950000000000074
109,-50.40000000000008
110,-50.85000000000008
111,-51.30000000000008
112,-51.750000000000085
113,-52.20000000000009
114,-52.65000000000009
115,-53.100000000000094
116,-53.5500000000001
117,-54.0000000000001
118,-54.4500000000001
119,-54.900000000000105
120,-55.350000000000115
121,-55.80000000000011
122,-56.250000000000114
123,-56.70000000000012
124,-57.15000000000012
125,-57.60000000000013
126,-58.050000000000125
127,-58.50000000000013
128,-58.95000000000013
129,-59.400000000000134
130,-59.85000000000014
131,-60.30000000000014
132,-60.75000000000014
133,-61.200000000000145
134,-61.65000000000015
135,-62.10000000000016
136,-62.55000000000015
137,-63.000000000000156
138,-63.45000000000016
139,-63.90000000000016
140,-64.35000000000018
141,-64.80000000000017
142,-65.25000000000017
143,-65.70000000000017
144,-66.15000000000018
145,-66.6000000000002
146,-67.05000000000018
147,-67.50000000000018
148,-67.95000000000019
149,-68.40000000000019
150,-68.85000000000021
151,-69.3000000000002
152,-69.7500000000002
153,-70.2000000000002
154,-70.6500000000002
155,-71.10000000000022
156,-71.55000000000021
157,-72.00000000000021
158,-72.45000000000022
159,-72.90000000000022
160,-73.35000000000024
161,-73.80000000000022
162,-74.25000000000023
163,-74.70000000000023
164,-75.15000000000023
165,-75.60000000000025
166,-76.05000000000024
167,-76.50000000000024
168,-76.95000000000024
169,-77.40000000000025
170,-77.85000000000026
171,-78.30000000000025
172,-78.75000000000026
173,-79.20000000000026
174,-79.65000000000026
175,-80.10000000000028
176,-80.55000000000027
177,-81.00000000000028
178,-81.45000000000027
179,-81.90000000000028
180,-82.35000000000029
181,-82.8000000000003
182,-83.2500000000003
183,-83.70000000000029
184,-84.15000000000029
185,-84.6000000000003
186,-85.0500000000003
187,-85.50000000000031
188,-85.9500000000003
189,-86.4000000000003
190,-86.85000000000032
191,-87.30000000000032
192,-87.75000000000033
193,-88.20000000000032
194,-88.65000000000032
195,-89.10000000000034
196,-89.55000000000032
197,-90.00000000000034
198,-90.45000000000033
199,-90.90000000000033
200,-91.35000000000035
201,-91.80000000000035
202,-92.25000000000036
203,-92.70000000000034
204,-93.15000000000035
205,-93.60000000000036
206,-94.05000000000035
207,-94.50000000000037
208,-94.95000000000036
209,-95.40000000000036
210,-95.85000000000038
211,-96.30000000000038
212,-96.75000000000038
213,-97.20000000000039
214,-97.65000000000038
215,-98.10000000000039
216,-98.55000000000038
217,-99.0000000000004
218,-99.4500000000004
219,-99.90000000000039
220,-100.3500000000004
221,-100.80000000000041
222,-101.25000000000041
223,-101.70000000000041
224,-102.1500000000004
225,-102.60000000000042
226,-103.05000000000041
227,-103.50000000000043
228,-103.95000000000043
229,-104.40000000000042
230,-104.85000000000043
231,-105.30000000000044
232,-105.75000000000044
233,-106.20000000000044
234,-106.65000000000043
235,-107.10000000000045
236,-107.55000000000044
237,-108.00000000000045
238,-108.45000000000044
239,-108.90000000000045
240,-109.35000000000046
241,-109.80000000000047
242,-110.25000000000047
243,-110.70000000000047
244,-111.15000000000046
245,-111.60000000000048
246,-112.05000000000047
247,-112.50000000000048
248,-112.95000000000047
249,-113.40000000000047
250,-113.85000000000049
251,-114.3000000000005
252,-114.7500000000005
253,-115.2000000000005
254,-115.65000000000049
255,-116.1000000000005
256,-116.5500000000005
257,-117.00000000000051
258,-117.4500000000005
259,-117.9000000000005
260,-118.35000000000052
261,-118.80000000000052
262,-119.25000000000053
263,-119.70000000000053
264,-120.15000000000052
265,-120.60000000000053
266,-121.05000000000052
267,-121.50000000000054
268,-121.95000000000053
269,-122.40000000000053
270,-122.85000000000055
271,-123.30000000000055
272,-123.75000000000055
273,-124.20000000000056
274,-124.65000000000055
275,-125.10000000000056
276,-125.55000000000055
277,-126.00000000000057
278,-126.45000000000056
279,-126.90000000000056
280,-127.35000000000058
281,-127.80000000000057
282,-128.25000000000057
283,-128.70000000000056
284,-129.15000000000055
285,-129.60000000000053
286,-130.05000000000055
287,-130.5000000000005
288,-130.9500000000005
