Episode,Timestep,Action,State,Transmission Power,Beacon Rate,CBR,Reward
0,0,0,"(0, 0)",0.7653605404642417,0.5688143763912648,0.9827475655724216,-1
0,1,3,"(0, 0)",0.6441774860173026,0.37326893723885507,0.530266808462646,-1
0,2,3,"(0, 1)",0.9288215529301396,0.3186243872337247,0.472072982486544,-1
0,3,2,"(0, 2)",0.778040521287475,0.4612263544743167,0.9091115824348677,-1
0,4,2,"(0, 1)",0.878719516457316,0.4055764794314205,0.871244589456982,-1
0,5,3,"(0, 0)",0.7302662272955349,0.6010188227375063,0.8845698735849594,-1
0,6,0,"(0, 1)",0.7996798822695614,0.4905725499052579,0.5179337591708839,2
0,7,1,"(0, 1)",0.9656571615117748,0.5043309838632914,0.9492645369469317,-1
0,8,0,"(1, 1)",0.6263693275871531,0.6825479027190208,0.7202887387996981,9
0,9,0,"(0, 1)",0.6295201486764179,0.6264061279946387,0.9184185428555267,-1
0,10,2,"(0, 1)",0.5050592950859224,0.3330036748237535,0.8707583203918661,-4
0,11,1,"(0, 0)",0.6853339762300976,0.43281532260698485,0.6683590100624235,9
0,12,3,"(1, 0)",0.9344949536515688,0.36776886669723496,0.4228293089531675,-4
0,13,1,"(1, 1)",0.6893804563404201,0.534535203263768,0.5269261389566788,2
0,14,3,"(2, 1)",0.7640405529691492,0.35055587024881374,0.5770910788356735,6
0,15,2,"(2, 2)",0.8866861688383318,0.5676070489692733,0.46904939083220926,2
0,16,0,"(2, 1)",0.9736901777403983,0.45722162946606515,0.42884001516536946,-1
0,17,3,"(1, 1)",0.5096261531280826,0.4349735411760697,0.5996077146760674,9
0,18,1,"(1, 2)",0.8336379588633,0.34132323250591173,0.7793549108354079,-1
0,19,3,"(2, 2)",0.9541513992332613,0.303652685252124,0.8523895137033284,-4
0,20,1,"(2, 3)",0.6311458641059142,0.5371619133482959,0.8902678693140633,-1
0,21,3,"(3, 3)",0.6002280840280907,0.6144333945683345,0.8481818452760204,2
0,22,0,"(3, 4)",0.5816996181646202,0.5678830254952891,0.9064663167204577,-1
0,23,3,"(2, 4)",0.7333913912956176,0.30996917078717007,0.7795005079180228,-1
0,24,2,"(2, 4)",0.9159256394790369,0.5210646944176589,0.5430815528399612,2
0,25,1,"(2, 3)",0.8657601868942666,0.59417187644405,0.9856128733752878,-1
0,26,1,"(3, 3)",0.7039897253754779,0.620807376765091,0.9446932971678104,-1
0,27,0,"(4, 3)",0.8030757695126752,0.5834174158955754,0.6293279919383898,9
0,28,3,"(3, 3)",0.7830479473017268,0.5253829680226859,0.9088051537376646,-1
0,29,0,"(3, 4)",0.9003605811559343,0.5224683537131727,0.46195762752021974,2
0,30,0,"(2, 4)",0.6791566385004949,0.5571994378598262,0.5815574934152924,9
0,31,2,"(1, 4)",0.7296634226001923,0.3743348099314191,0.4619797663263078,-1
0,32,2,"(1, 3)",0.6547842855021357,0.6885239529209518,0.7450632591174002,9
0,33,2,"(1, 2)",0.925887389177765,0.5053835239295462,0.7741739703183093,2
0,34,3,"(1, 1)",0.7499938958130288,0.43141722847257324,0.7685031909811275,2
0,35,3,"(1, 2)",0.7327209493405534,0.6700232315843437,0.944771886874218,-1
0,36,1,"(1, 3)",0.5830511936457632,0.4236181350963748,0.6639574627047622,9
0,37,3,"(2, 3)",0.9877689294856355,0.5067563613529916,0.5526345793058338,9
0,38,1,"(2, 4)",0.6496200536980792,0.6306666883473085,0.4534871871555526,2
0,39,0,"(3, 4)",0.5733225424155266,0.32078690734891147,0.6341749368360585,6
0,40,2,"(2, 4)",0.9234530899768522,0.4949839277029731,0.7794908582411813,2
0,41,3,"(2, 3)",0.9700290789083608,0.5644161682093951,0.7184441882818466,9
0,42,0,"(2, 4)",0.9167482815297426,0.48124514788740924,0.8840150514062125,-1
0,43,3,"(1, 4)",0.5069642684985962,0.3564071224892884,0.41217276507422645,-4
0,44,3,"(1, 4)",0.7808505198830277,0.5203872202541303,0.580609892799312,9
0,45,3,"(1, 4)",0.5800076469367285,0.6270486243637063,0.6690492311326532,9
0,46,0,"(1, 4)",0.9497220310026925,0.46966862641361073,0.7050455596642373,9
0,47,0,"(0, 4)",0.8717260488185403,0.6452862956758545,0.44688086583395814,-1
0,48,2,"(0, 4)",0.8679986833082525,0.3400455862033347,0.5479110878423987,-1
0,49,0,"(0, 3)",0.9761031075351252,0.5319949918616212,0.5252773695020165,2
0,50,2,"(0, 3)",0.5013515018497907,0.4670071621931231,0.5697718525594354,9
0,51,1,"(0, 2)",0.5041844407640568,0.6350420871818065,0.8085924477391071,2
0,52,3,"(1, 2)",0.6962010054990933,0.46159764727592256,0.8623165508845514,-1
0,53,1,"(1, 3)",0.8867480735096801,0.48131934362062045,0.5290468381504937,2
0,54,2,"(2, 3)",0.8687437561227288,0.6699840919938407,0.8584076188781232,-1
0,55,0,"(2, 2)",0.5451348866742388,0.4826806266237394,0.48644937193219284,2
0,56,1,"(1, 2)",0.895158026769659,0.3651902916327359,0.9621930101575742,-4
0,57,2,"(2, 2)",0.7823276012626417,0.41881668546125783,0.4008776836606001,-1
0,58,0,"(2, 1)",0.7128995715723785,0.34557584550065923,0.8030692956100887,-1
0,59,2,"(1, 1)",0.6719272777297605,0.5636069636125767,0.8258170531029939,2
0,60,3,"(1, 0)",0.9302936010759446,0.4425192879329512,0.9256580700646672,-1
0,61,1,"(1, 1)",0.8859208244469658,0.5478531385275651,0.9465892742017965,-1
0,62,3,"(2, 1)",0.9825620916099987,0.5911568384730586,0.8295672894515298,2
0,63,3,"(2, 2)",0.8277423409696975,0.30756883276212627,0.5393142079496953,-1
0,64,3,"(2, 3)",0.9643425657201397,0.6886686561004707,0.5580259281621978,9
0,65,1,"(2, 4)",0.9006649636573256,0.33920927004362056,0.6544133682100126,6
0,66,1,"(3, 4)",0.8043291839073226,0.39722649342675714,0.8950446674971875,100
1,0,3,"(0, 0)",0.6785766940316666,0.43610059459923245,0.8403841752272513,2
1,1,1,"(0, 1)",0.8671043693238771,0.46287254621012347,0.5283713782049021,2
1,2,3,"(1, 1)",0.5775019593752198,0.4991702298730305,0.826369736065341,2
1,3,0,"(1, 2)",0.5719573807591717,0.4325722855966112,0.8807964322062405,-1
1,4,0,"(0, 2)",0.8855224843004785,0.4859064269817105,0.42925816328117616,-1
1,5,0,"(0, 2)",0.8401634313083273,0.6772205997371519,0.6569600996243783,9
1,6,2,"(0, 2)",0.534559874819157,0.34647471429081905,0.5439254755282015,-1
1,7,2,"(0, 1)",0.6718788873458037,0.4939508450628163,0.4052013294203916,-1
1,8,1,"(0, 0)",0.5844778430825902,0.45210709843759944,0.7156356309094202,9
1,9,0,"(1, 0)",0.8104274234604278,0.5897356060865844,0.761129614202769,2
1,10,0,"(0, 0)",0.5907878305182395,0.35181732418776085,0.4326027861669729,-4
1,11,0,"(0, 0)",0.6264974331121713,0.5674632778694375,0.829242817368508,2
1,12,3,"(0, 0)",0.6642868864836657,0.5523392825785234,0.8872458105452675,-1
1,13,1,"(0, 1)",0.5615792817446783,0.39172496229755643,0.6254028747390319,6
1,14,3,"(1, 1)",0.8072848173635916,0.47823738938812976,0.8088006222234325,2
1,15,0,"(1, 2)",0.9388123525412453,0.3448939511610739,0.7512526152387378,-1
1,16,1,"(0, 2)",0.9923792284613857,0.4266653488237443,0.7181099551477872,9
1,17,3,"(1, 2)",0.5191155295346183,0.6796435631259309,0.5030332953813985,2
1,18,0,"(1, 3)",0.9527621748989668,0.3830883055081757,0.9693895621123437,-4
1,19,1,"(0, 3)",0.7844385162709447,0.33725007814905755,0.9689266795192012,-4
1,20,1,"(1, 3)",0.836850504557983,0.3237007925323331,0.9094948115563474,-4
1,21,1,"(2, 3)",0.792455240303011,0.6907634892641513,0.5294962591258636,2
1,22,1,"(3, 3)",0.9516012234299496,0.4903065994111099,0.8372304729370026,2
1,23,2,"(4, 3)",0.5629768982293505,0.5881848708674509,0.9900966067826199,-1
1,24,1,"(4, 2)",0.5789654157189718,0.53678134016737,0.6039338208183211,9
1,25,3,"(4, 2)",0.5333166574713717,0.48007427169476413,0.9271893390828978,-1
1,26,3,"(4, 3)",0.8159221023337906,0.32314344383124927,0.9622047976331107,100
2,0,2,"(0, 0)",0.8100255603705296,0.6682358994039977,0.9517604444586639,-1
2,1,2,"(0, 0)",0.5832701486824512,0.3169541106185301,0.5187457215232586,-1
2,2,0,"(0, 0)",0.6742392523662915,0.5829692927285366,0.6640482380220354,9
2,3,1,"(0, 0)",0.8846564535374637,0.5142849398459002,0.42826343475108,-1
2,4,1,"(1, 0)",0.5023198411243297,0.46654532704054413,0.5190719989326689,2
2,5,0,"(2, 0)",0.5549933217613136,0.46635041553906587,0.6438138348721368,9
